日志：00:53:53.563 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource --- HikariPool-1 - Shutdown initiated...
日志：00:53:53.579 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource --- HikariPool-1 - Shutdown completed.
日志：00:54:21.061 [background-preinit] INFO  o.h.validator.internal.util.Version --- HV000001: Hibernate Validator 8.0.1.Final
日志：00:54:21.113 [main] INFO  j.o.OnlineShoppingMallApplicationTests --- Starting OnlineShoppingMallApplicationTests using Java 17.0.6 with PID 22348 (started by Yu'S'hui'shen in E:\NewDeskope\24-25java-web\24-25Javaweb_work\Java_web_WorkHub\期末大作业_网上购物商城\online_shopping_mall)
日志：00:54:21.115 [main] INFO  j.o.OnlineShoppingMallApplicationTests --- No active profile set, falling back to 1 default profile: "default"
日志：00:54:24.588 [main] INFO  o.h.jpa.internal.util.LogHelper --- HHH000204: Processing PersistenceUnitInfo [name: default]
日志：00:54:24.745 [main] INFO  org.hibernate.Version --- HHH000412: Hibernate ORM core version 6.5.2.Final
日志：00:54:24.806 [main] INFO  o.h.c.i.RegionFactoryInitiator --- HHH000026: Second-level cache disabled
日志：00:54:25.750 [main] INFO  com.zaxxer.hikari.HikariDataSource --- HikariPool-1 - Starting...
日志：00:54:26.247 [background-preinit] INFO  o.h.validator.internal.util.Version --- HV000001: Hibernate Validator 8.0.1.Final
日志：00:54:26.310 [main] INFO  j.o.OnlineShoppingMallApplicationTests --- Starting OnlineShoppingMallApplicationTests using Java 17.0.6 with PID 31240 (started by Yu'S'hui'shen in E:\NewDeskope\24-25java-web\24-25Javaweb_work\Java_web_WorkHub\期末大作业_网上购物商城\online_shopping_mall)
日志：00:54:26.312 [main] INFO  j.o.OnlineShoppingMallApplicationTests --- No active profile set, falling back to 1 default profile: "default"
日志：00:54:26.434 [main] INFO  com.zaxxer.hikari.pool.HikariPool --- HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@3a13f663
日志：00:54:26.437 [main] INFO  com.zaxxer.hikari.HikariDataSource --- HikariPool-1 - Start completed.
日志：00:54:26.538 [main] WARN  org.hibernate.orm.deprecation --- HHH90000025: MySQL8Dialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
日志：00:54:26.540 [main] WARN  org.hibernate.orm.deprecation --- HHH90000026: MySQL8Dialect has been deprecated; use org.hibernate.dialect.MySQLDialect instead
日志：00:54:28.031 [background-preinit] INFO  o.h.validator.internal.util.Version --- HV000001: Hibernate Validator 8.0.1.Final
日志：00:54:28.099 [main] INFO  j.o.OnlineShoppingMallApplicationTests --- Starting OnlineShoppingMallApplicationTests using Java 17.0.6 with PID 29868 (started by Yu'S'hui'shen in E:\NewDeskope\24-25java-web\24-25Javaweb_work\Java_web_WorkHub\期末大作业_网上购物商城\online_shopping_mall)
日志：00:54:28.101 [main] INFO  j.o.OnlineShoppingMallApplicationTests --- No active profile set, falling back to 1 default profile: "default"
日志：00:54:28.269 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator --- HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
日志：00:54:28.768 [main] INFO  o.h.jpa.internal.util.LogHelper --- HHH000204: Processing PersistenceUnitInfo [name: default]
